Date,Call Spread,CBLO Spread,Market Repo Spread,P/E Ratio,NSE Return,SMC to GDP Ratio (Buffet Indicator),Forex CMAX,Implied Volatility,Exchange Rates,Index
May-18,-0.102201879,0.098886269,0.10323024,-0.037811147,0.016677759,-0.110207019,0.233355383,0.073132806,0.033299469,0.308361881
Jun-18,-0.088874581,0.068975489,0.087850888,-0.043784206,0.019830032,-0.10605371,0.216551714,0.077951679,0.024125824,0.25657313
Jul-18,-0.101909357,0.119404389,0.109935425,-0.056987809,-0.094949818,-0.161506714,0.159836403,0.085687239,-0.006836824,0.052672935
Aug-18,-0.078083447,0.104097996,0.095955204,-0.089368075,-0.036725467,-0.179413633,0.111160973,0.083700511,-0.033410252,-0.022086191
Sep-18,-0.114335688,0.046315807,0.104285686,-0.06547584,0.135166166,-0.099727331,-0.052201405,0.009346139,-0.122594843,-0.159221309
Oct-18,-0.117329881,0.044685901,0.088406386,0.010287694,0.108464553,-0.049986084,-0.144538202,-0.038039449,-0.173004366,-0.271053449
Nov-18,-0.090442498,0.088302865,0.100711361,-0.006688368,-0.071400478,-0.095377835,-0.044337486,-0.027302661,-0.118301686,-0.264836786
Dec-18,-0.118446596,0.118575015,0.119681792,-0.0217782,0.018532037,0.003726296,0.029626957,0.026169925,-0.077922201,0.098165025
Jan-19,-0.092303495,0.104187915,0.101133709,-0.022092572,0.021498883,0.005112035,0.038782295,0.007190328,-0.072924018,0.090585081
Feb-19,-0.129718441,0.133010071,0.137105024,-0.040326119,0.022796878,0.022280794,0.001695603,-0.012338791,-0.093170794,0.041334225
Mar-19,-0.10448355,0.10109892,0.119159489,-0.074906985,-0.126657983,-0.031203915,0.099278138,0.006133557,-0.03989746,-0.051479788
Apr-19,-0.162987933,0.127046478,0.041287104,-0.11766151,-0.003719307,-0.037917005,0.168206991,-0.072363354,-0.032195411,-0.090303948
May-19,-0.103670061,0.106633722,0.116785898,-0.110116594,-0.011507277,-0.048748589,0.145867098,0.025028613,-0.044548488,0.075724323
Jun-19,-0.127287259,0.087187159,0.107954617,-0.12174834,0.036889396,-0.032736019,0.164594648,0.043881399,-0.034192894,0.124542708
Jul-19,-0.082073585,0.082463395,0.082178764,-0.091254304,0.121629932,0.017832566,0.209042821,0.066918995,-0.009614813,0.397123772
Aug-19,-0.105185603,0.098265226,0.099410532,-0.054787209,0.031882844,0.029183668,0.065517414,0.021393323,-0.088978684,0.096701511
Sep-19,-0.112908181,0.093990001,0.097163645,-0.04881415,-0.059718523,0.005576898,0.048581932,0.028325737,-0.098343335,-0.046145977
Oct-19,-0.103079445,0.028410216,0.009535038,-0.035610547,-0.048963706,-0.021620948,0.070299899,0.021435594,-0.086334159,-0.165928057
Nov-19,-0.097463024,0.080127607,0.064169878,-0.072077642,-0.011692705,-0.025194744,0.043169181,0.061719684,-0.101336372,-0.058578137
Dec-19,-0.088476751,0.021692287,0.010049457,-0.088110588,-0.001123317,0.027240278,0.059227884,0.099425255,-0.092456545,-0.05253204
Jan-20,-0.056877698,0.036712419,-0.057111358,-0.081194415,0.047644213,0.041673332,0.054006395,0.003047787,-0.095343822,-0.107443147
Feb-20,-0.065402622,0.064065892,0.060145436,-0.048499778,0.134053599,0.092850285,0.035673942,-0.096161826,-0.105480943,0.071243985
Mar-20,-0.086230183,-0.329523894,-0.278894345,0.125662037,0.447241267,0.280410145,-0.144538202,-0.792319948,-0.205131128,-0.983324249
Apr-20,-0.04266949,-0.304909259,-0.254630495,0.157099188,-0.256086635,0.199798432,-0.144538202,-0.277968619,-0.267273845,-1.191178926
May-20,0.041016851,-0.281683086,-0.281932077,0.130063239,0.068782989,0.22421782,-0.10714661,-0.214266495,-0.246089363,-0.667036731
Jun-20,0.029081957,-0.1952364,-0.204658369,0.021290697,-0.123505709,0.176542247,-0.111648175,-0.195625063,-0.248639758,-0.852398574
Jul-20,0.067870363,-0.128012677,-0.128967829,-0.101314192,-0.122763998,0.127117363,-0.061362416,-0.112351549,-0.22014999,-0.679934926
Aug-20,0.086369448,-0.131336097,-0.153092304,-0.195311273,-0.036540039,0.105892424,-0.042733173,-0.089398494,-0.209595455,-0.665744964
Sep-20,0.093938684,-0.111785165,-0.127602892,-0.225490938,0.038929103,0.113746368,0.022930472,-0.033516471,-0.172393233,-0.401244072
Oct-20,0.139037694,-0.130681484,-0.127426543,-0.270760435,-0.048963706,0.088780264,0.022905275,-0.121820213,-0.172407508,-0.621336657
Nov-20,0.210036013,-0.202451953,-0.20864955,-0.281763438,-0.195080866,0.001094628,-0.018966697,-0.038377616,-0.196130383,-0.930289861
Dec-20,0.213873901,-0.143874455,-0.15490164,-0.373559918,-0.12869769,-0.123425167,0.012484474,-0.059978004,-0.17831149,-0.936389988
